,id,daynight,,,Lat,Lng
29:48.4,195,night,IERS2010 latitude +15.5122 N longitude 14.2376 E elevation 413534.7 m,,15.5122,14.2376
30:03.9,196,night,IERS2010 latitude +16.2810 N longitude 14.8433 E elevation 413537.2 m,,16.281,14.8433
30:19.4,197,night,IERS2010 latitude +17.0501 N longitude 15.4562 E elevation 413546.6 m,,17.0501,15.4562
30:34.9,198,night,IERS2010 latitude +17.8143 N longitude 16.0726 E elevation 413562.9 m,,17.8143,16.0726
30:50.3,199,night,IERS2010 latitude +18.5761 N longitude 16.6948 E elevation 413585.8 m,,18.5761,16.6948
31:05.8,200,night,IERS2010 latitude +19.3358 N longitude 17.3235 E elevation 413615.3 m,,19.3358,17.3235
31:21.2,201,night,IERS2010 latitude +20.0919 N longitude 17.9580 E elevation 413651.2 m,,20.0919,17.958
31:36.7,202,night,IERS2010 latitude +20.8462 N longitude 18.6000 E elevation 413693.4 m,,20.8462,18.6
31:52.2,203,night,IERS2010 latitude +21.5970 N longitude 19.2487 E elevation 413741.6 m,,21.597,19.2487
32:07.6,204,night,IERS2010 latitude +22.3447 N longitude 19.9047 E elevation 413795.8 m,,22.3447,19.9047
32:23.1,205,night,IERS2010 latitude +23.0892 N longitude 20.5685 E elevation 413855.8 m,,23.0892,20.5685
32:38.6,206,night,IERS2010 latitude +23.8303 N longitude 21.2404 E elevation 413921.4 m,,23.8303,21.2404
32:54.0,207,night,IERS2010 latitude +24.5676 N longitude 21.9206 E elevation 413992.4 m,,24.5676,21.9206
33:09.5,208,night,IERS2010 latitude +25.3016 N longitude 22.6100 E elevation 414068.7 m,,25.3016,22.61
33:25.0,209,night,IERS2010 latitude +26.0312 N longitude 23.3079 E elevation 414150.0 m,,26.0312,23.3079
33:40.4,210,night,IERS2010 latitude +26.7566 N longitude 24.0153 E elevation 414236.2 m,,26.7566,24.0153
33:55.9,211,night,IERS2010 latitude +27.4777 N longitude 24.7326 E elevation 414327.1 m,,27.4777,24.7326
34:11.3,212,night,IERS2010 latitude +28.1939 N longitude 25.4596 E elevation 414422.3 m,,28.1939,25.4596
34:26.8,213,night,IERS2010 latitude +28.9064 N longitude 26.1982 E elevation 414522.0 m,,28.9064,26.1982
34:42.3,214,night,IERS2010 latitude +29.6133 N longitude 26.9472 E elevation 414625.7 m,,29.6133,26.9472
